View,Coment,Like,Subscriber
79554,2472,750,640000
107268,1814,3600,470000
284950,91,20000,9140000
57380,457,2200,953000
349593,612,3500,505000
16006,294,617,99100
21282,193,367,14100
42470,85,1300,259000
6891,6,217,47600
12633,97,219,30900
11201,48,231,319000
120860,665,3100,421000
28242,73,340,354000
853,21,17,10500
8297,100,280,19300
5122,75,706,429000
5714,64,203,51200
2007,0,14,2330
785,1,8,46400
85384,105,1400,47500
8126,84,219,20200
26038,481,1100,54100
7817,46,101,90000
63380,238,1400,416000
18258,164,411,11100
47862,236,1800,544000
35042,324,1600,169000
24945,480,995,324000
171562,1734,10000,471000
49932,66,1300,259000
94162,599,2900,180000
11545,71,242,85600
1240,33,157,222000
75997,175,873,446000
693,8,10,11000
7877,32,103,458000
165,4,21,51200
28522,213,1100,44900
392,21,43,16600
5303,38,166,35500
8801,16,189,231000
2841,17,129,40400
126849,92,3400,1800000
67,0,3,2870
9103,26,189,63600
10847,52,117,105000
22287,479,666,68900
178,16,20,81900
5908,51,167,40000
83989,819,6100,751000
45340,150,532,62100
45,4,5,36700
2750,73,126,18600
15205,84,234,83200
8926,14,53,39900
45036,126,1400,203000
3758,36,38,105000
75514,100,667,478000
843,0,14,2520
4403,18,52,235000
63015,60,619,231000
163008,720,7600,61400
17545,82,609,460000
17120,41,243,85800
3704,55,125,11400
8154,30,160,23200
32905,83,457,233000
840,4,42,2800
1954,28,154,5830
7207,54,281,18600
2608,53,101,7320
1982,0,62,163000
10745,0,460,11300
6346,240,229,119000
794,104,35,1930
137856,143,1200,249000
111111,117,904,249000
4313,0,24,15300
523,28,79,11600
17458,55,1200,111000
32495,66,376,231000
4499,43,288,18600
272,0,10,1370
5669,43,350,12400
80458,309,1700,401000
2769,6,16,50500
10624,43,161,198000
1155,8,14,344
953,0,46,1970
465,20,7,37000
1264,35,39,13400
545,16,14,1760
4893,14,189,17900
18532,161,2000,27000
215,0,7,1570
476,90,61,10000
7873,43,164,166000
368,10,7,468
8020,163,793,242000
6008,25,71,648000
42196,68,854,292000
29850,13,230,231000
3192,38,274,62000
1035,14,33,1750
15434,186,404,373000
54877,1088,3000,728000
1696,43,211,430000
328387,1460,9200,1720000
21671,202,1000,55800
42782,118,1200,260000
241140,1306,5300,195000
188125,562,3400,349000
82268,423,1600,141000
26771,372,843,214000
12912,58,255,254000
306,14,15,37000
348,14,21,756
1255,79,42,13400
2360,52,95,12700
44751,313,1200,50500
499,2,8,9520
183890,1998,18000,1290000
3461,25,106,1360000
354390,1447,23000,11300000
4449,3,191,14600
4041,50,151,222000
11262,21,81,248000
4181,9,33,88400
9569,48,462,610000
4548,72,161,17900
26610,48,252,478000
1231,35,48,5180
744,47,45,7660
11607,159,313,16200
16602,324,424,51200
16820,59,204,139000
11699,83,354,273000
185,12,8,1630
8646,107,222,212000
4248,0,186,36900
96,0,4,35900
376,2,32,1980
1960,7,209,22900
565,9,13,1020
3184,50,185,197000
5871,6,13,206000
23050,569,2200,2680000
315,41,23,16900
5287,102,324,18600
54459,577,1100,124000
158630,4939,11000,466000
658,27,26,33700
566959,2707,38000,951000
239,8,10,1700
1958,2,12,2330
27891,111,2100,355000
20031,342,2200,131000
822042,3666,46000,2760000
191,2,3,178000
4353,33,39,11300
15061,66,158,478000
386,2,5,6700
1159,9,32,17400
1144,15,65,84100
106,9,15,7090
2077,18,35,10900
593,0,32,1980
2935,25,242,4420
17494,152,587,211000
11014,269,1600,27800
78540,1147,6700,1330000
12522,48,1300,27800
62,0,7,2340
110,18,5,5360
615529,11450,59000,1090000
18,0,1,4680
14311,21,116,478000
43,1,3,562
463,18,13,1990
3321,26,360,193000
7420,40,715,9810000
325,17,16,460
101922,1249,10000,4530000
15285,312,19000,28400
404,9,22,1330
10,7,2,353
164173,1003,4100,259000
44093,249,1500,544000
4130,18,47,27600
436867,763,4100,515000
10290,29,191,222000
2984,232,404,71700
924,85,114,18700
1008866,21951,150000,6080000
93028,199,1600,303000
9425,160,400,14500
4477,9,63,139000
4349,60,60,10700
4087,27,154,87500
44,5,5,3320
3796,45,83,50800
599,33,37,13400
110,2,10,3680
386171,2620,25000,1800000
1077,10,31,30900
4590,122,131,13900
1062036,3594,96000,1440000
11668,19,86,35200
132648,1157,2900,263000
731,2,10,46400
5532,107,132,223000
4191,49,103,322000
14694,212,2800,2700000
36177,324,1000,257000
122685,309,869,916000
11757,58,369,526000
1850,48,87,40600
5133,17,71,53900
5736,70,857,21900
18171,51,297,161000
44794,250,1800,194000
29966,144,2000,301000
32054,185,1300,498000
27391,19,261,85900
567,3,11,1240
1484897,8311,160000,13800000
1153,24,95,7900
16477,148,1400,239000
5156,15,202,18500
417,7,16,30000
1180,31,52,5290
6620,44,251,121000
7529,35,95,19300
162057,1577,15000,1850000
5048,1,175,37000
4320,9,73,25100
134846,421,10000,3490000
251,11,19,2520
14340,78,726,45100
70110,1214,4800,2680000
55490,743,4500,569000
38131,259,3700,824000
