,Now,Title,View,Coment,Like,Subscriber
0,2020/06/10 03:38:14,[영화리뷰] 목숨을 걸고 파도에 몸을 던지는 해양 구조대가 위대한 이유,470,,48.0,210000.0
1,2020/06/10 03:38:39,*커플브이로그* 동탄 돈가스 맛집 '인생돈가스' 리뷰 | 맛집 후기 | 동탄호수공원점 | 커플브이로그 | 점심데이트 (feat.데이트팝),24,1.0,2.0,26.0
2,2020/06/10 03:39:02,침입자 가이드 리뷰,13503,116.0,579.0,280000.0
3,2020/06/10 03:39:25,"브라운 붓/펜 아이라이너 10종 리뷰, 베스트템은? [No광고]",20702,137.0,717.0,450000.0
4,2020/06/10 03:39:48,🌊여름맞이 셀프 제모 제품 TOP3 리뷰!,8798,100.0,375.0,110000.0
5,2020/06/10 03:40:10,새로나온 짜장라면! 신제품! 팔도 삼선짜장 | 고물의 냠냠리뷰,4836,69.0,220.0,20000.0
6,2020/06/10 03:40:36,"북한 싸이코패스 살인마가 한국으로 귀순하면 벌어지는 일  [결말포함 / 영화리뷰] 국정원, 경찰, CIA, 간첩",10698,15.0,87.0,
7,2020/06/10 03:40:59,"지능형 좀비 VS 특수 부대, 다시 살아난 자들과의 마지막 전쟁 [영화리뷰 결말포함]",31896,250.0,461.0,70000.0
8,2020/06/10 03:41:21,g80 타고 서프라이즈/양치승관장이랑 g80리뷰,3578,43.0,104.0,10000.0
9,2020/06/10 03:41:42,[영화리뷰/결말포함] 국가의 전설인 남자에게 정부는 세계 종말을 막아달라고 부탁하는데... / 판타지 드라마,3337,9.0,71.0,20000.0
10,2020/06/10 03:42:07,"컴팩트 SUV의 최고봉 [AMG GLC 63s 쿠페, 에픽모터스 하드웨어 리뷰]",20140,33.0,423.0,370000.0
11,2020/06/10 03:42:31,[애니리뷰] 스킨쉽을 할수록 강력해지는 소녀들과의 사랑이야기,931,29.0,132.0,30000.0
12,2020/06/10 03:42:52,"이 차가 벌써 여기에? - ""중고"" 르노삼성 XM3 리뷰",28025,178.0,478.0,110000.0
13,2020/06/10 03:43:16,신의탑 카라카 리뷰[우렉마지노가 인정한 남자],35221,83.0,318.0,10000.0
14,2020/06/10 03:43:38,【내맘리뷰】 진격의 거인 에렌 예거의 모든것을 알아보자!!,5379,120.0,648.0,30000.0
15,2020/06/10 03:43:59,발로란트 재미 있다? 없다? (라이엇 신작 발로란트 리뷰) 기본 조작법 공략,3979,293.0,183.0,40000.0
16,2020/06/10 03:44:22,햄머사의 새로운 도전!!! 노머시 퍼플 볼링공 리뷰!!!,12842,48.0,208.0,40000.0
17,2020/06/10 03:44:47,치즈 미쳐써!!![ 피자헛 신메뉴 얼티밋 치즈포켓피자 ] 리뷰 먹방 Korean Pizza Hut New Menu Ultimate Cheese Pocket Pizza Mukbang,1953,31.0,,40000.0
18,2020/06/10 03:45:08,애니리뷰-인간 쓰레기 백수가 다시 고등학생으로 되돌아가면 생기는일,315,5.0,8.0,1000.0
19,2020/06/10 03:45:38,*커플브이로그* 동탄 돈가스 맛집 '인생돈가스' 리뷰 | 맛집 후기 | 동탄호수공원점 | 커플브이로그 | 점심데이트 (feat.데이트팝),24,1.0,2.0,26.0
20,2020/06/10 03:45:57,침입자 가이드 리뷰,13503,116.0,579.0,280000.0
21,2020/06/10 03:46:22,"브라운 붓/펜 아이라이너 10종 리뷰, 베스트템은? [No광고]",21105,137.0,718.0,450000.0
22,2020/06/10 03:46:45,🌊여름맞이 셀프 제모 제품 TOP3 리뷰!,8798,100.0,375.0,110000.0
23,2020/06/10 03:47:08,새로나온 짜장라면! 신제품! 팔도 삼선짜장 | 고물의 냠냠리뷰,5012,69.0,221.0,20000.0
