View,Coment,Like,Subscriber
10309.0,96.0,651.0,70000.0
3000.0,24.0,282.0,310000.0
1428.0,55.0,203.0,20000.0
3488.0,109.0,219.0,20000.0
4191.0,54.0,197.0,7000.0
7098.0,136.0,993.0,130000.0
17264.0,208.0,2000.0,550000.0
2212.0,50.0,315.0,240000.0
7216.0,141.0,876.0,370000.0
1928.0,60.0,234.0,230000.0
8416.0,123.0,1000.0,140000.0
16869.0,74.0,588.0,470000.0
3909.0,61.0,207.0,20000.0
5569.0,76.0,236.0,150000.0
560.0,16.0,69.0,10000.0
9861.0,132.0,832.0,120000.0
3361.0,59.0,269.0,10000.0
4769.0,45.0,421.0,50000.0
306.0,18.0,32.0,2000.0
117.0,6.0,5.0,140.0
785.0,18.0,98.0,30000.0
23201.0,46.0,745.0,540000.0
684.0,40.0,76.0,50000.0
192.0,5.0,16.0,1000.0
53.0,6.0,7.0,421.0
2820.0,64.0,90.0,470000.0
11218.0,98.0,522.0,370000.0
1965.0,47.0,300.0,2000.0
5286.0,100.0,428.0,150000.0
355.0,9.0,30.0,1000.0
1064.0,67.0,210.0,10000.0
135.0,3.0,6.0,1000.0
1045.0,21.0,112.0,704.0
504.0,28.0,63.0,20000.0
1335.0,26.0,51.0,30000.0
773.0,120.0,57.0,1000.0
855.0,5.0,93.0,30000.0
3402.0,23.0,117.0,5000.0
45.0,7.0,9.0,1000.0
189.0,34.0,40.0,241.0
168.0,11.0,13.0,10000.0
4854.0,74.0,97.0,7000.0
31941.0,324.0,1000.0,420000.0
223.0,6.0,15.0,1000.0
12775.0,167.0,832.0,120000.0
42.0,2.0,8.0,207.0
2180.0,17.0,130.0,10000.0
33.0,2.0,6.0,145.0
16790.0,270.0,937.0,630000.0
1428.0,23.0,65.0,10000.0
39.0,3.0,6.0,3000.0
217.0,54.0,28.0,520.0
30.0,2.0,2.0,54.0
3151.0,11.0,57.0,60000.0
927.0,0.0,21.0,60000.0
4590.0,37.0,508.0,70000.0
1652.0,4.0,70.0,2000.0
47.0,2.0,13.0,60.0
113.0,9.0,17.0,55.0
12388.0,64.0,729.0,150000.0
608.0,82.0,71.0,10000.0
1135.0,0.0,23.0,90000.0
196.0,8.0,19.0,157.0
334.0,0.0,17.0,207.0
7489.0,255.0,423.0,170000.0
175.0,14.0,32.0,3000.0
12407.0,246.0,1000.0,120000.0
1757.0,45.0,249.0,380000.0
24062.0,169.0,1000.0,380000.0
4272.0,64.0,339.0,80000.0
6424.0,102.0,801.0,70000.0
8703.0,158.0,948.0,300000.0
1660.0,28.0,164.0,150000.0
1038.0,5.0,18.0,140000.0
704.0,11.0,24.0,315.0
4510.0,36.0,436.0,280000.0
13326.0,155.0,408.0,10000.0
265.0,16.0,31.0,547.0
3612.0,156.0,509.0,190000.0
18951.0,52.0,674.0,540000.0
9096.0,26.0,241.0,10000.0
4579.0,45.0,257.0,50000.0
4121.0,64.0,394.0,110000.0
9470.0,96.0,467.0,370000.0
799.0,35.0,113.0,40000.0
2464.0,58.0,293.0,110000.0
54807.0,85.0,1000.0,310000.0
420.0,31.0,59.0,70000.0
18044.0,49.0,545.0,470000.0
918.0,0.0,40.0,2000.0
7372.0,5.0,44.0,140000.0
4191.0,6.0,51.0,60000.0
680.0,11.0,30.0,5000.0
185.0,53.0,39.0,1000.0
8814.0,14.0,135.0,50000.0
85.0,25.0,17.0,1000.0
3469.0,7.0,441.0,10000.0
19869.0,156.0,580.0,20000.0
213.0,1.0,18.0,10000.0
8214.0,108.0,301.0,80000.0
664.0,0.0,39.0,4000.0
49.0,8.0,11.0,21.0
17065.0,67.0,1000.0,70000.0
41.0,5.0,4.0,46.0
325.0,12.0,24.0,668.0
53.0,17.0,16.0,1000.0
1090.0,31.0,26.0,1000.0
700.0,0.0,7.0,10000.0
100.0,0.0,4.0,2000.0
73.0,1.0,8.0,370.0
