View,Coment,Like,Subscriber
57380.0,457.0,2200.0,953000.0
16006.0,294.0,617.0,99100.0
21282.0,193.0,367.0,14100.0
42470.0,85.0,1300.0,259000.0
6891.0,6.0,217.0,47600.0
12633.0,97.0,219.0,30900.0
11201.0,48.0,231.0,319000.0
28242.0,73.0,340.0,354000.0
853.0,21.0,17.0,10500.0
8297.0,100.0,280.0,19300.0
5122.0,75.0,706.0,429000.0
5714.0,64.0,203.0,51200.0
2007.0,0.0,14.0,2330.0
785.0,1.0,8.0,46400.0
85384.0,105.0,1400.0,47500.0
8126.0,84.0,219.0,20200.0
26038.0,481.0,1100.0,54100.0
7817.0,46.0,101.0,90000.0
63380.0,238.0,1400.0,416000.0
18258.0,164.0,411.0,11100.0
47862.0,236.0,1800.0,544000.0
35042.0,324.0,1600.0,169000.0
24945.0,480.0,995.0,324000.0
49932.0,66.0,1300.0,259000.0
11545.0,71.0,242.0,85600.0
1240.0,33.0,157.0,222000.0
75997.0,175.0,873.0,446000.0
693.0,8.0,10.0,11000.0
7877.0,32.0,103.0,458000.0
165.0,4.0,21.0,51200.0
28522.0,213.0,1100.0,44900.0
392.0,21.0,43.0,16600.0
5303.0,38.0,166.0,35500.0
8801.0,16.0,189.0,231000.0
2841.0,17.0,129.0,40400.0
67.0,0.0,3.0,2870.0
9103.0,26.0,189.0,63600.0
10847.0,52.0,117.0,105000.0
22287.0,479.0,666.0,68900.0
178.0,16.0,20.0,81900.0
5908.0,51.0,167.0,40000.0
45340.0,150.0,532.0,62100.0
45.0,4.0,5.0,36700.0
2750.0,73.0,126.0,18600.0
15205.0,84.0,234.0,83200.0
8926.0,14.0,53.0,39900.0
45036.0,126.0,1400.0,203000.0
3758.0,36.0,38.0,105000.0
75514.0,100.0,667.0,478000.0
843.0,0.0,14.0,2520.0
4403.0,18.0,52.0,235000.0
63015.0,60.0,619.0,231000.0
17545.0,82.0,609.0,460000.0
17120.0,41.0,243.0,85800.0
3704.0,55.0,125.0,11400.0
8154.0,30.0,160.0,23200.0
32905.0,83.0,457.0,233000.0
840.0,4.0,42.0,2800.0
1954.0,28.0,154.0,5830.0
7207.0,54.0,281.0,18600.0
2608.0,53.0,101.0,7320.0
1982.0,0.0,62.0,163000.0
10745.0,0.0,460.0,11300.0
6346.0,240.0,229.0,119000.0
794.0,104.0,35.0,1930.0
4313.0,0.0,24.0,15300.0
523.0,28.0,79.0,11600.0
17458.0,55.0,1200.0,111000.0
32495.0,66.0,376.0,231000.0
4499.0,43.0,288.0,18600.0
272.0,0.0,10.0,1370.0
5669.0,43.0,350.0,12400.0
80458.0,309.0,1700.0,401000.0
2769.0,6.0,16.0,50500.0
10624.0,43.0,161.0,198000.0
1155.0,8.0,14.0,344.0
953.0,0.0,46.0,1970.0
465.0,20.0,7.0,37000.0
1264.0,35.0,39.0,13400.0
545.0,16.0,14.0,1760.0
4893.0,14.0,189.0,17900.0
18532.0,161.0,2000.0,27000.0
215.0,0.0,7.0,1570.0
476.0,90.0,61.0,10000.0
7873.0,43.0,164.0,166000.0
368.0,10.0,7.0,468.0
8020.0,163.0,793.0,242000.0
6008.0,25.0,71.0,648000.0
42196.0,68.0,854.0,292000.0
29850.0,13.0,230.0,231000.0
3192.0,38.0,274.0,62000.0
1035.0,14.0,33.0,1750.0
15434.0,186.0,404.0,373000.0
1696.0,43.0,211.0,430000.0
21671.0,202.0,1000.0,55800.0
42782.0,118.0,1200.0,260000.0
82268.0,423.0,1600.0,141000.0
26771.0,372.0,843.0,214000.0
12912.0,58.0,255.0,254000.0
306.0,14.0,15.0,37000.0
348.0,14.0,21.0,756.0
1255.0,79.0,42.0,13400.0
2360.0,52.0,95.0,12700.0
44751.0,313.0,1200.0,50500.0
499.0,2.0,8.0,9520.0
4449.0,3.0,191.0,14600.0
4041.0,50.0,151.0,222000.0
11262.0,21.0,81.0,248000.0
4181.0,9.0,33.0,88400.0
9569.0,48.0,462.0,610000.0
4548.0,72.0,161.0,17900.0
26610.0,48.0,252.0,478000.0
1231.0,35.0,48.0,5180.0
744.0,47.0,45.0,7660.0
11607.0,159.0,313.0,16200.0
16602.0,324.0,424.0,51200.0
16820.0,59.0,204.0,139000.0
11699.0,83.0,354.0,273000.0
185.0,12.0,8.0,1630.0
8646.0,107.0,222.0,212000.0
4248.0,0.0,186.0,36900.0
96.0,0.0,4.0,35900.0
376.0,2.0,32.0,1980.0
1960.0,7.0,209.0,22900.0
565.0,9.0,13.0,1020.0
3184.0,50.0,185.0,197000.0
5871.0,6.0,13.0,206000.0
315.0,41.0,23.0,16900.0
5287.0,102.0,324.0,18600.0
54459.0,577.0,1100.0,124000.0
658.0,27.0,26.0,33700.0
239.0,8.0,10.0,1700.0
1958.0,2.0,12.0,2330.0
27891.0,111.0,2100.0,355000.0
20031.0,342.0,2200.0,131000.0
191.0,2.0,3.0,178000.0
4353.0,33.0,39.0,11300.0
15061.0,66.0,158.0,478000.0
386.0,2.0,5.0,6700.0
1159.0,9.0,32.0,17400.0
1144.0,15.0,65.0,84100.0
106.0,9.0,15.0,7090.0
2077.0,18.0,35.0,10900.0
593.0,0.0,32.0,1980.0
2935.0,25.0,242.0,4420.0
17494.0,152.0,587.0,211000.0
11014.0,269.0,1600.0,27800.0
12522.0,48.0,1300.0,27800.0
62.0,0.0,7.0,2340.0
110.0,18.0,5.0,5360.0
18.0,0.0,1.0,4680.0
14311.0,21.0,116.0,478000.0
43.0,1.0,3.0,562.0
463.0,18.0,13.0,1990.0
3321.0,26.0,360.0,193000.0
325.0,17.0,16.0,460.0
404.0,9.0,22.0,1330.0
10.0,7.0,2.0,353.0
44093.0,249.0,1500.0,544000.0
4130.0,18.0,47.0,27600.0
10290.0,29.0,191.0,222000.0
2984.0,232.0,404.0,71700.0
924.0,85.0,114.0,18700.0
93028.0,199.0,1600.0,303000.0
9425.0,160.0,400.0,14500.0
4477.0,9.0,63.0,139000.0
4349.0,60.0,60.0,10700.0
4087.0,27.0,154.0,87500.0
44.0,5.0,5.0,3320.0
3796.0,45.0,83.0,50800.0
599.0,33.0,37.0,13400.0
110.0,2.0,10.0,3680.0
1077.0,10.0,31.0,30900.0
4590.0,122.0,131.0,13900.0
11668.0,19.0,86.0,35200.0
731.0,2.0,10.0,46400.0
5532.0,107.0,132.0,223000.0
4191.0,49.0,103.0,322000.0
36177.0,324.0,1000.0,257000.0
11757.0,58.0,369.0,526000.0
1850.0,48.0,87.0,40600.0
5133.0,17.0,71.0,53900.0
5736.0,70.0,857.0,21900.0
18171.0,51.0,297.0,161000.0
44794.0,250.0,1800.0,194000.0
29966.0,144.0,2000.0,301000.0
32054.0,185.0,1300.0,498000.0
27391.0,19.0,261.0,85900.0
567.0,3.0,11.0,1240.0
1153.0,24.0,95.0,7900.0
16477.0,148.0,1400.0,239000.0
5156.0,15.0,202.0,18500.0
417.0,7.0,16.0,30000.0
1180.0,31.0,52.0,5290.0
6620.0,44.0,251.0,121000.0
7529.0,35.0,95.0,19300.0
5048.0,1.0,175.0,37000.0
4320.0,9.0,73.0,25100.0
251.0,11.0,19.0,2520.0
14340.0,78.0,726.0,45100.0
38131.0,259.0,3700.0,824000.0
188.0,0.0,4.0,143000.0
15221.0,71.0,680.0,607000.0
2919.0,9.0,38.0,17800.0
2112.0,22.0,75.0,57300.0
3122.0,12.0,51.0,70000.0
263.0,8.0,8.0,2780.0
37220.0,372.0,1400.0,892000.0
46389.0,433.0,1000.0,215000.0
12611.0,33.0,155.0,104000.0
3153.0,13.0,104.0,18000.0
1783.0,20.0,49.0,9580.0
6705.0,222.0,734.0,13800.0
5410.0,65.0,539.0,57400.0
22427.0,217.0,2500.0,30000.0
4322.0,76.0,173.0,67500.0
16137.0,481.0,1700.0,921000.0
56473.0,175.0,1100.0,377000.0
11474.0,195.0,447.0,14700.0
21607.0,232.0,791.0,111.0
4911.0,46.0,172.0,20600.0
13499.0,42.0,1800.0,30000.0
15847.0,242.0,695.0,698000.0
88.0,1.0,3.0,1190.0
2850.0,47.0,287.0,545000.0
1968.0,0.0,40.0,36800.0
2254.0,2.0,34.0,4410.0
1862.0,37.0,29.0,11300.0
2317.0,83.0,330.0,37100.0
1539.0,3.0,159.0,37000.0
11008.0,56.0,169.0,20500.0
316.0,9.0,7.0,3190.0
10977.0,65.0,325.0,55900.0
409.0,3.0,4.0,46400.0
3064.0,145.0,375.0,938000.0
11825.0,176.0,399.0,14800.0
4221.0,119.0,465.0,545000.0
22757.0,170.0,609.0,526000.0
45065.0,149.0,1100.0,325000.0
2132.0,24.0,68.0,3.0
22578.0,152.0,472.0,46800.0
12954.0,163.0,568.0,112000.0
1395.0,11.0,85.0,162000.0
8320.0,68.0,177.0,85700.0
17966.0,154.0,526.0,216000.0
27244.0,564.0,621.0,55100.0
17316.0,187.0,418.0,131000.0
28589.0,56.0,384.0,241000.0
862.0,5.0,4.0,46500.0
924.0,44.0,50.0,13400.0
711.0,68.0,78.0,16300.0
846.0,110.0,65.0,674000.0
6262.0,37.0,66.0,17200.0
4618.0,74.0,148.0,43000.0
1032.0,42.0,9.0,211000.0
1783.0,11.0,38.0,31000.0
680.0,12.0,64.0,198000.0
1482.0,33.0,19.0,4770.0
386.0,6.0,24.0,60300.0
57854.0,462.0,2500.0,734000.0
182.0,12.0,3.0,482000.0
14722.0,167.0,1900.0,30300.0
468.0,10.0,62.0,7860.0
9584.0,83.0,247.0,74900.0
312.0,4.0,6.0,603.0
55.0,1.0,2.0,36700.0
433.0,25.0,16.0,1820.0
100.0,1.0,4.0,3950.0
56.0,0.0,5.0,541.0
11.0,0.0,1.0,766.0
91.0,11.0,10.0,28.0
2064.0,29.0,36.0,2290.0
22.0,0.0,8.0,506.0
8650.0,62.0,595.0,62200.0
30.0,0.0,1.0,141.0
5590.0,44.0,203.0,250000.0
13039.0,70.0,233.0,156000.0
6510.0,12.0,334.0,40900.0
54058.0,431.0,2900.0,263000.0
37218.0,162.0,1600.0,783000.0
10509.0,107.0,307.0,223000.0
4241.0,71.0,103.0,33100.0
15.0,3.0,4.0,334.0
8042.0,36.0,371.0,332000.0
13465.0,113.0,638.0,501000.0
33780.0,234.0,4100.0,373000.0
5483.0,7.0,495.0,235000.0
9521.0,71.0,678.0,326000.0
5263.0,90.0,457.0,69000.0
5023.0,29.0,176.0,80500.0
5827.0,51.0,487.0,278000.0
417.0,0.0,6.0,20.0
64449.0,465.0,4100.0,188000.0
12298.0,12.0,96.0,344000.0
37854.0,364.0,2500.0,113000.0
65.0,13.0,6.0,122.0
5837.0,70.0,577.0,57600.0
1454.0,55.0,234.0,29300.0
76.0,0.0,11.0,302.0
2254.0,5.0,74.0,8080.0
16105.0,151.0,222.0,26800.0
21081.0,319.0,2500.0,29000.0
5018.0,51.0,215.0,46400.0
17690.0,82.0,518.0,116000.0
4473.0,90.0,413.0,25100.0
34126.0,218.0,1100.0,874000.0
7677.0,63.0,607.0,32700.0
5182.0,139.0,722.0,277000.0
47938.0,538.0,1600.0,211000.0
2871.0,78.0,313.0,150000.0
55029.0,546.0,1000.0,128000.0
403.0,25.0,44.0,12900.0
9970.0,109.0,996.0,260000.0
2304.0,57.0,253.0,360000.0
4293.0,136.0,460.0,433000.0
390.0,11.0,37.0,223000.0
3683.0,45.0,101.0,403000.0
3829.0,66.0,542.0,165000.0
1378.0,67.0,34.0,13400.0
31964.0,130.0,1400.0,92900.0
11594.0,61.0,325.0,32900.0
13186.0,324.0,876.0,18700.0
598.0,13.0,37.0,2540.0
2562.0,92.0,363.0,233000.0
695.0,3.0,50.0,26200.0
3339.0,80.0,369.0,195000.0
10536.0,211.0,1200.0,307000.0
2002.0,21.0,67.0,0.0
37714.0,251.0,2800.0,263000.0
1303.0,31.0,63.0,0.0
6514.0,246.0,278.0,10300.0
678.0,13.0,20.0,36000.0
47550.0,59.0,545.0,62200.0
2456.0,67.0,158.0,26000.0
1546.0,12.0,63.0,4600.0
1008.0,28.0,37.0,16600.0
1448.0,2.0,12.0,874000.0
36317.0,303.0,3300.0,489000.0
671.0,65.0,120.0,1890.0
4105.0,53.0,156.0,207000.0
353.0,10.0,26.0,2830.0
4537.0,39.0,304.0,171000.0
2263.0,90.0,132.0,232000.0
272.0,18.0,33.0,16600.0
1709.0,0.0,47.0,101000.0
21304.0,116.0,176.0,32700.0
113.0,10.0,7.0,4450.0
3234.0,24.0,174.0,53600.0
26911.0,49.0,991.0,636000.0
5067.0,50.0,178.0,64700.0
166.0,1.0,6.0,3270.0
311.0,6.0,18.0,6400.0
9.0,1.0,1.0,299.0
122.0,10.0,10.0,236.0
477.0,2.0,31.0,1620.0
36243.0,315.0,827.0,681000.0
914.0,25.0,25.0,3860.0
151.0,2.0,4.0,1400.0
15272.0,43.0,683.0,606000.0
26265.0,72.0,848.0,68300.0
29340.0,112.0,1600.0,238000.0
78832.0,417.0,3400.0,508000.0
6682.0,10.0,72.0,262000.0
87290.0,166.0,1300.0,75300.0
11786.0,411.0,899.0,15200.0
43328.0,459.0,3500.0,370000.0
6847.0,55.0,283.0,60300.0
1281.0,23.0,65.0,69900.0
60638.0,217.0,2500.0,124000.0
896.0,1.0,27.0,4950.0
12883.0,133.0,1300.0,370000.0
12673.0,60.0,472.0,501000.0
8875.0,67.0,169.0,173000.0
46610.0,270.0,2600.0,437000.0
29879.0,173.0,497.0,80900.0
4296.0,14.0,74.0,231000.0
3898.0,17.0,75.0,231000.0
3555.0,32.0,71.0,231000.0
13347.0,136.0,622.0,111000.0
25731.0,132.0,1400.0,132000.0
1662.0,16.0,47.0,18700.0
12250.0,73.0,738.0,824000.0
20128.0,46.0,501.0,41700.0
11828.0,145.0,518.0,81400.0
2378.0,9.0,28.0,6510.0
873.0,20.0,102.0,175000.0
242.0,7.0,23.0,6020.0
6181.0,12.0,202.0,19400.0
1388.0,5.0,21.0,165000.0
748.0,3.0,9.0,46400.0
5891.0,3.0,215.0,37200.0
2370.0,69.0,234.0,323000.0
9087.0,134.0,213.0,222000.0
9897.0,60.0,142.0,15000.0
4449.0,53.0,241.0,17800.0
18415.0,34.0,255.0,163000.0
11371.0,101.0,914.0,641000.0
1484.0,52.0,46.0,13500.0
49322.0,167.0,1700.0,207000.0
3956.0,145.0,155.0,223000.0
38944.0,112.0,389.0,166000.0
7174.0,84.0,318.0,39600.0
2374.0,0.0,23.0,30900.0
854.0,5.0,10.0,46400.0
240.0,8.0,23.0,18400.0
36.0,3.0,4.0,36700.0
511.0,18.0,22.0,28800.0
4230.0,27.0,298.0,92500.0
2150.0,27.0,14.0,1930.0
16031.0,58.0,546.0,29300.0
34848.0,201.0,2100.0,101000.0
1108.0,8.0,35.0,25600.0
4242.0,73.0,460.0,143000.0
5997.0,3.0,216.0,37200.0
5942.0,39.0,71.0,54500.0
50915.0,187.0,2000.0,623000.0
1014.0,12.0,17.0,11800.0
305.0,2.0,19.0,91300.0
25502.0,121.0,382.0,162000.0
13902.0,54.0,97.0,40300.0
25815.0,177.0,1600.0,310000.0
275.0,8.0,7.0,5640.0
17743.0,44.0,202.0,138000.0
28565.0,258.0,1600.0,125000.0
44.0,1.0,3.0,6590.0
66.0,3.0,5.0,36700.0
34343.0,529.0,3400.0,107000.0
82.0,3.0,7.0,2900.0
18787.0,173.0,1000.0,645000.0
19.0,3.0,3.0,154.0
11747.0,117.0,1700.0,31500.0
97.0,1.0,4.0,4470.0
118.0,39.0,13.0,18600.0
956.0,9.0,67.0,105000.0
143.0,4.0,4.0,3710.0
37457.0,278.0,2800.0,263000.0
245.0,18.0,23.0,6210.0
129.0,101.0,10.0,659.0
55.0,5.0,8.0,70.0
5035.0,33.0,445.0,167000.0
16.0,5.0,3.0,57.0
1815.0,5.0,115.0,24900.0
12616.0,22.0,119.0,15000.0
12071.0,68.0,1100.0,104000.0
179.0,13.0,10.0,147.0
17950.0,72.0,477.0,100000.0
28425.0,220.0,2600.0,68500.0
21342.0,357.0,1200.0,35000.0
36086.0,69.0,868.0,131000.0
36705.0,118.0,3100.0,640000.0
15433.0,116.0,316.0,237000.0
11864.0,425.0,1600.0,739000.0
31609.0,452.0,1200.0,165000.0
3189.0,116.0,105.0,18800.0
54263.0,304.0,2100.0,202000.0
2096.0,113.0,263.0,191000.0
1402.0,103.0,48.0,2060.0
35367.0,263.0,1900.0,94900.0
841.0,66.0,46.0,3380.0
19749.0,544.0,1000.0,94000.0
628.0,9.0,18.0,1400.0
729.0,7.0,11.0,36100.0
2794.0,53.0,125.0,8940.0
11107.0,6.0,606.0,70800.0
70557.0,419.0,1500.0,939000.0
4787.0,16.0,91.0,108000.0
15754.0,46.0,809.0,85000.0
8245.0,71.0,52.0,835000.0
4304.0,9.0,151.0,20400.0
47120.0,128.0,1900.0,303000.0
7061.0,105.0,239.0,102000.0
21950.0,107.0,720.0,365000.0
10066.0,364.0,1400.0,193000.0
17873.0,101.0,2000.0,32100.0
127.0,0.0,5.0,1520.0
6299.0,36.0,415.0,23700.0
774.0,34.0,87.0,20800.0
744.0,12.0,22.0,17700.0
17216.0,2.0,345.0,138000.0
53.0,1.0,12.0,309.0
529.0,5.0,38.0,7560.0
21048.0,162.0,847.0,65800.0
12961.0,346.0,1800.0,243000.0
330.0,0.0,2.0,50500.0
2416.0,43.0,292.0,833000.0
5070.0,107.0,535.0,107000.0
