View,Coment,Like,Subscriber
11961.0,96.0,169.0,2000.0
10338.0,198.0,601.0,130000.0
26359.0,204.0,508.0,130000.0
22.0,1.0,2.0,310.0
1738.0,49.0,291.0,5000.0
9732.0,164.0,193.0,10000.0
4010.0,126.0,392.0,30000.0
11.0,2.0,2.0,289.0
2021.0,63.0,54.0,10000.0
10024.0,85.0,208.0,40000.0
2738.0,49.0,136.0,10000.0
968.0,4.0,16.0,6000.0
505.0,11.0,14.0,299.0
12328.0,58.0,219.0,202.0
217.0,21.0,29.0,20000.0
5507.0,52.0,262.0,50000.0
141.0,3.0,4.0,7000.0
6917.0,32.0,123.0,10000.0
55.0,0.0,4.0,5000.0
7109.0,57.0,203.0,893.0
182.0,18.0,26.0,20000.0
159.0,7.0,13.0,20000.0
215.0,18.0,24.0,157.0
847.0,24.0,62.0,20000.0
1433.0,2.0,15.0,20000.0
1119.0,16.0,54.0,10000.0
1794.0,154.0,184.0,100000.0
606.0,19.0,62.0,10000.0
13.0,2.0,2.0,143.0
92.0,1.0,6.0,10000.0
1237.0,20.0,25.0,6000.0
118.0,1.0,4.0,1000.0
2982.0,98.0,97.0,10000.0
60.0,16.0,11.0,1000.0
1983.0,6.0,23.0,5000.0
40.0,2.0,3.0,8000.0
24925.0,105.0,454.0,775.0
960.0,25.0,98.0,20000.0
106.0,17.0,7.0,157.0
229.0,3.0,3.0,209.0
96.0,1.0,1.0,318.0
3548.0,4.0,22.0,40000.0
60.0,10.0,13.0,117.0
186.0,23.0,19.0,722.0
107.0,4.0,6.0,30000.0
4042.0,39.0,64.0,9000.0
5997.0,21.0,89.0,1000.0
394.0,110.0,72.0,10000.0
2324.0,131.0,48.0,7000.0
1458.0,12.0,9.0,1000.0
242.0,21.0,18.0,1000.0
101.0,46.0,46.0,3000.0
104.0,22.0,10.0,572.0
149.0,12.0,6.0,2000.0
395.0,58.0,35.0,351.0
521.0,62.0,9.0,178.0
216.0,1.0,6.0,20000.0
27.0,3.0,6.0,1000.0
200.0,4.0,5.0,1000.0
55.0,7.0,12.0,2000.0
21.0,4.0,4.0,37.0
133.0,16.0,6.0,561.0
6646.0,40.0,86.0,10000.0
2709.0,85.0,384.0,10000.0
2427.0,26.0,54.0,5000.0
21315.0,77.0,625.0,160000.0
13141.0,47.0,94.0,50000.0
11.0,0.0,3.0,53.0
12.0,0.0,2.0,48.0
8079.0,40.0,181.0,30000.0
871.0,9.0,23.0,80000.0
4768.0,175.0,592.0,30000.0
111.0,1.0,5.0,1000.0
225.0,5.0,19.0,20000.0
3067.0,60.0,185.0,10000.0
1167.0,18.0,70.0,60000.0
833.0,22.0,43.0,20000.0
424.0,17.0,53.0,20000.0
66.0,3.0,12.0,5000.0
145.0,12.0,5.0,35.0
1064.0,130.0,117.0,20000.0
3255.0,23.0,114.0,40000.0
1359.0,16.0,66.0,4000.0
10198.0,45.0,192.0,30000.0
1509.0,36.0,48.0,70000.0
10.0,1.0,2.0,4000.0
204.0,1.0,9.0,1000.0
241.0,3.0,21.0,60000.0
2097.0,66.0,230.0,30000.0
1191.0,10.0,35.0,20000.0
103.0,20.0,14.0,167.0
6073.0,24.0,63.0,20000.0
1529.0,147.0,129.0,20000.0
88.0,1.0,6.0,5000.0
805.0,28.0,100.0,30000.0
10198.0,45.0,192.0,30000.0
10.0,45.0,2.0,4000.0
1588.0,37.0,49.0,70000.0
204.0,37.0,9.0,1000.0
241.0,37.0,21.0,60000.0
2304.0,77.0,252.0,30000.0
1191.0,77.0,35.0,20000.0
791.0,28.0,98.0,30000.0
1509.0,36.0,48.0,70000.0
10.0,1.0,2.0,4000.0
241.0,3.0,21.0,60000.0
2097.0,3.0,230.0,30000.0
1191.0,10.0,35.0,20000.0
6073.0,24.0,63.0,20000.0
1529.0,147.0,129.0,20000.0
88.0,1.0,6.0,5000.0
17254.0,23.0,190.0,70000.0
7434.0,12.0,151.0,20000.0
156.0,10.0,12.0,40000.0
170.0,0.0,10.0,9000.0
2119.0,17.0,47.0,5000.0
9004.0,89.0,254.0,30000.0
669.0,28.0,90.0,1000.0
14.0,4.0,4.0,3000.0
7761.0,45.0,322.0,20000.0
17808.0,23.0,194.0,70000.0
7728.0,12.0,153.0,20000.0
189.0,11.0,15.0,40000.0
7904.0,45.0,324.0,20000.0
2140.0,17.0,48.0,5000.0
9519.0,90.0,260.0,30000.0
980.0,29.0,102.0,1000.0
125.0,4.0,8.0,10000.0
79.0,2.0,6.0,2000.0
1110.0,44.0,111.0,70000.0
12490.0,70.0,141.0,9000.0
8254.0,62.0,241.0,100000.0
2040.0,79.0,203.0,60000.0
2745.0,42.0,91.0,40000.0
488.0,13.0,60.0,20000.0
170.0,1.0,17.0,4000.0
17972.0,135.0,520.0,140000.0
9226.0,47.0,403.0,5000.0
837.0,6.0,33.0,3000.0
