,Now,Title,View,Coment,Like,Subscriber
0,2020-06-01 17:46,[영화리뷰/결말포함] 독가스로 인해 멸망한 세상에서 살아가는 사람들,71711,,931,82400
1,2020-06-01 17:47,[슬기로운의사생활 12화리뷰(1)] 재학이도 울고 의사부부도 울었다,168088,805,5300,48800
2,2020-06-01 17:47,[MSC 리뷰] 예상보다 더 큰 LPL의 벽,14358,474,493,76700
3,2020-06-01 17:47,[슬기로운의사생활 12화리뷰(2)] 펑펑 울다가 웃다가 끝난 의사부부의 마지막화 리뷰.,148025,1033,6800,48800
4,2020-06-01 17:47,[슬의생 12화] 눈물나는 최종화 리뷰 | 아니 이걸 몰라? | 공부해와 | 의대생이 리뷰하는 슬기로운 의사생활,150,2,16,1840
5,2020-06-01 17:47,MSC 1일차 리뷰 T1과 DWG의 패배의 이유 / LCK의 고집?,14674,,118,21900
6,2020-06-01 17:48,*에뛰드 신상! 파데 리뷰💗 + 꼭! 사야하는 “학생 추천템” 8가지👍🏻,19746,248,1000,259000
7,2020-06-01 17:48,[영화리뷰/결말포함] 전국구 보스가 아끼는 여학생을 건드린 학교 선생의 최후,60435,51,381,
8,2020-06-01 17:48,오리지널이 최고? 글로리어스 MODEL D 오딘 게이밍 타공 마우스 리뷰,855,52,95,19300
9,2020-06-01 17:48,여자인 줄 알고 재워준 사람이 알고 보니 남자였다,66515,151,1000,193000
10,2020-06-01 17:48,[영화리뷰/결말포함] 외계 종족 ‘포믹’으로부터 살아남은 지구인들이 우주함대를 만들어 외계 행성을 박살 내는 영화,11397,41,154,
11,2020-06-01 17:49,(실화영화 리뷰) 우리가 몰랐던 6.25전쟁 영화에 관한 실화들,63,0,8,1150
12,2020-06-01 17:49,【내맘리뷰】 귀멸의 칼날이 남겨버린 미해결 충격 떡밥들,16567,275,2300,36000
13,2020-06-01 17:49,6월1일 중간고사 리뷰,5,0,0,18
14,2020-06-01 17:49,[결말포함/영화리뷰] 이런미인을 좋아하는 광대가 해부학에 관심을 가지면 일어나는일~ SF공포영화!,37,0,4,821
15,2020-06-01 17:49,동급 최강 스펙 / 어로스 FI27Q 모니터 리뷰 / 가격까지 동급최강은....?,1465,37,104,64800
16,2020-06-01 17:50,"[영화리뷰 결말포함]전설 속 최강 여전사, 레드소냐!!! 세상의 평화를 지키기위한 싸움이 시작된다!!",50745,130,724,5500
17,2020-06-01 17:50,💚 [노토킹] 초름슬라임 리뷰│인생 슬라임을 만났습니다🤭🍃✨ 총 5개 슬라임 솔직 구입 후기 💚,172,6,,1350
18,2020-06-01 17:50,전력분석원의 순한맛 리뷰 | 5월 29~31일 KT전,3192,245,,40400
19,2020-06-01 17:50,(결말포함) 이쁘고 어린 여죄수가 마음에 들어 매일 사무실로 부르는 교도소장 (영화리뷰),709568,206,3100,
20,2020-06-01 17:50,민트초코=치약? 의외로 호불호 갈리는 음식 리뷰! [썰리뷰],2505,54,72,
21,2020-06-01 17:51,🍠 가슴이 웅장해진다... 초커피 슬라임 구매 후기! / 슬라임 리뷰 / 인스타 슬라임 / 액괴 / 액체괴물 / slime review / スライムレビュー / 박뮤즈,13482,174,627,38300
22,2020-06-01 17:51,[결말포함] 살기 위해서 12.7cm가 된 사람들,3814,11,38,
23,2020-06-01 17:51,임산부가 소리도 못내고 혼자 출산해야하는 이유[영화리뷰|결말포함|공포/스릴러],126,4,17,
24,2020-06-01 17:51,"번호표 뽑고 기다려 살까 말까, 제네시스 G80 리뷰",102,0,6,3340
25,2020-06-01 17:51,(영화리뷰 결말포함 추천) 싸이코부부가 불법체류자를 고용해서 생긴 일,2893,25,91,8800
26,2020-06-01 17:51,"남자친구 몰래 시킨 택배!! 강제 리뷰시키기ㅋㅋ 꿀잼보장!!, 핫토이 토이스토리 코스베이비 Hot toys Toystory cosbaby [고니두욘몬의 꿀잼 리뷰] #42",8722,74,295,277000
27,2020-06-01 17:52,[리뷰 먹방] 뚜레쥬르 신메뉴 메로나와 콜라보한 메로나빵! 신상 5종 몽땅 리뷰~🍞디저트 빵 먹방🍞뚜레쥬르 빵 추천 Bread Dessert,675,38,47,
28,2020-06-01 17:52,3D운전게임 정식 출시가 되기전에 최초로 펠리세이드 리뷰!!! [헤이쿤띠],1254,72,66,1460
29,2020-06-01 17:52,겨울왕국 이야기 frozen story (영한자막) 영화 리뷰 - 줄거리 결말포함,94,1,9,5360
30,2020-06-01 17:52,[牛7] 연쇄살인마의 아내를 건드린 남자의 최후,72155,730,1600,
31,2020-06-01 17:52,"LG 벨벳 리뷰 : 긁어 부스럼, 액티브 펜과 듀얼 스크린은 예뻐!",15676,277,495,156000
32,2020-06-01 17:53,동심파괴 결말 주의! 세계 최초 슈퍼마리오 극장판 애니메이션 리뷰,7151,73,223,14500
33,2020-06-01 17:53,신의탑 3부 65화 리뷰[공간이동이 가능한 하이랭커],12735,114,161,15100
34,2020-06-01 17:53,2020 어뮤즈 NEW 여름한정신상🍉 뉴트로 매트 애시드 전색상리뷰 + 틴트꿀조합 벨벳매트틴트 AMUSE NEWTROMATTACID [헮TV],116,5,4,3010
35,2020-06-01 17:53,,646,14,57,25600
36,2020-06-01 17:53,리더 때려칩니다! 분노의 스타로드 3티어 리뷰!!  - Marvel 퓨처파이트,6258,95,167,11900
37,2020-06-01 17:54,"【글레이프니르】 9화 리뷰 - 분석&떡밥정리 ""인질이 되어 붙잡힌 사야카 feat.원펀맨과 액션씬 비교""",121,2,6,260
38,2020-06-01 17:54,그 동안 써 본 애플펜슬 케이스 리뷰 / 케이스 살 때 꼭 확인해야 하는 점!,166,3,5,7460
39,2020-06-01 17:54,농구화가 배드민턴에 적합할까?ㅣ리뷰앤업,213,13,21,59600
40,2020-06-01 17:54,맥북 프로 2020 13인치 언박싱 & 리뷰 [에어 vs 프로 13 vs 프로 16 비교] MacBook Pro 2020 13 inch Unboxing & Review,142,5,8,541
41,2020-06-01 17:54,쉐보레 콜로라도  쌩 라이브리뷰  차 좋구만 ㅋㅋ,21238,55,1700,170000
42,2020-06-01 17:55,W968도 버리게 만든 XIOM 36.5 블레이드 리뷰. (eng sub),912,17,22,18500
43,2020-06-01 17:55,"[리니지2m] 무,소과금에게 가장 좋은 상의? ""상아탑 로브"" 리뷰",6898,7,28,40800
44,2020-06-01 17:55,스카이어드벤쳐 게임이야기 Sky Adventure 게임ASMR GAMEASMR 게임리뷰 게임이야기 인생게임 고전게임,6447,78,283,22200
45,2020-06-01 17:55,신캐 화백/거문고명인을 다섯명이서 리뷰해보았다 | 심양홍's 서머너즈워,3780,25,35,6120
46,2020-06-01 17:55,설국열차 시즌 1 티저 모음 (리뷰아님) | 넷플릭스 | SNOWPIERCER S1 Official Teaser | RottenTomato | Netflix,21,0,3,2460
47,2020-06-01 17:55,[준카이Tube] 긴급리뷰! 너프 울트라2! 2020 NERF Ultra2! ASMR,55,2,4,8500
